uname,mid,roomid,follower,guardNum,coefficent,gid
坂坂白,560647,2755958,,164,,76.0
那菈花酱ovo,2143972570,26078445,,164,,76.0
東雪蓮Official,1437582453,22816111,416629.0,164,194.3929198076246,
靡烟miya,1958703906,22894962,45697.0,164,54.268554712124,
帅比笙歌超可爱OvO,15641218,573893,144042.0,163,126.05633685107546,
不稳定发电机,12622108,6653352,245633.0,163,159.89504888855902,
dodo_Official,1855519979,23945626,177565.0,163,139.32163394417228,
小黑的人间观察记录,500508001,21784772,,163,,76.0
LGDPYL116,651731017,22439496,,162,,76.0
泪腺战士,374377,45104,,161,,76.0
寻找光玉的悠然_,488990560,25399659,,161,,76.0
千薰依,20106338,14957082,,160,,76.0
杜松子_Gin,471460273,22195814,277162.0,159,163.55146244182322,
米诺高分少女,1778026586,25512465,117220.0,159,108.99261388792866,
伊索尔Sol,1694610556,25971921,,158,,76.0
猫的奴,33546978,26331605,,158,,76.0
木糖纯Official,54191665,8643223,343657.0,157,175.18511853033567,
DNF手游小韩,434543178,24683206,,157,,76.0
甜药Jamren,106017013,13308358,,156,,75.0
七濑Unia,353361863,21514463,335621.0,156,172.684978175433,
萝莉一凡,31470014,617484,,155,,76.0
三年胖50斤,1763388412,23616707,,155,,76.0
花见汐梨Yuuri,4718291,1155608,31749.0,155,22.180086592100224,
古月酱cc,83677665,9048914,,154,,76.0
暴躁浩然_有趣的浩然,1763330808,24201387,,153,,76.0
露娜Luna_Official,1908273021,26297216,27233.0,153,10.452513289669923,
凛-阿格里亚斯,2650919,3525213,280274.0,153,158.2593566207737,
卡缇娅也不知道鸭,1011797664,24697117,89630.0,153,85.97843609987922,
-阿蕊娅Aria-,10850238,594461,,151,,76.0
绝不早到小吱吱,11616487,3495920,,151,,76.0
龙哥哥今天又鸽了,37804608,4283606,,151,,76.0
小柳梢z,2137985829,22889482,,150,,76.0
新月冰冰,3295,5275,907960.0,149,228.78178527772707,
友夏Uka,690608712,23550793,31631.0,149,15.944011847893421,
王筱沫沫丶,533996453,23762953,,148,,76.0
抖个姬灵,454984558,21555489,,148,,76.0
虚拟小萨,6415072,43241,311692.0,147,158.99546870236554,
小小约yoo,1359949418,23224539,333533.0,146,162.28931550392508,
旧城旧梦111,32256602,3266695,,146,,76.0
洋洋洋ouo,688014052,22537565,,146,,76.0
星弥Hoshimi,477342747,21672022,184669.0,145,123.80870780365865,
予绵绵,11449972,5224276,,145,,76.0
黑桐谷歌,43536,1029,,144,,76.0
希侑Kiyuu,1155425566,23805066,73552.0,144,64.44441800411698,
蛙吹Keroro,613345189,22344968,95116.0,144,80.74484712648893,
蕾尔娜Leona,473244363,22992234,793338.0,144,215.22589413258288,
恬豆发芽了,1660392980,23771189,55546.0,144,46.642894186397825,
韩小沐,642922,146088,,144,,75.0
是鹿Lu吖,1083985101,25632549,,143,,76.0
柊真华Official,13908542,22251977,60480.0,142,50.03831188810648,
沐霂是MUMU呀,1878154667,23771139,48756.0,142,36.376596802180984,
星月璃り,1114539017,22901614,,142,,76.0
一米八的坤儿,19738891,4350043,,142,,75.0
一只小仙若,16539048,394518,,142,,76.0
火龙果说电影,40665101,23585383,,142,,76.0
墨色长安,25199503,731109,,141,,76.0
汐尔Sier,498188835,25367871,,141,,76.0
莞儿睡不醒,1875044092,25512476,75092.0,141,62.758154091965594,
橙子miu,13089665,1223832,152650.0,141,107.73625008353577,
巫贼_ikataruto,425286,292397,67571.0,141,56.06722675230901,
病院坂Rei,1041474702,22953950,112658.0,141,88.47589824887223,
轴伊Joi_Channel,61639371,21484828,109083.0,140,85.4313991136238,
乌拉の帝国Official,610390,14893,137066.0,140,99.90901109593722,
天音Sora_Official,3461572502489809,26422901,106079.0,140,83.66095659864948,
绘竹-,181560596,8250220,,140,,76.0
清歌清歌-,60194879,10094495,,139,,76.0
街头艺人小高,11139681,14006390,,139,,76.0
尤格Yog,690608709,23550749,123193.0,139,92.14357615210224,
红晓音Akane,899804,411318,284730.0,139,145.2594070896538,
Yommyko,14272337,21263282,177395.0,139,115.26090597018049,
穆小泠Official,43272050,21646457,431780.0,138,170.65757172107863,
路希维德Wiede,2006452883,24778741,257632.0,138,137.9188268089215,
猫芒ベル_Official,487550002,21811136,184307.0,138,116.6843050925678,
困困别睡辣,1673535962,24565591,,138,,76.0
-立花花,13983848,10191084,,137,,76.0
弥希Miki,477317922,21672023,119754.0,137,88.34855777825248,
