source,target,weight,src,dst
122,3,0.25599,莞儿睡不醒,嘉然今天吃什么
51,19,0.25573,蕾蕾大表哥,阿梓从小就很可爱
109,38,0.25556,花丸晴琉Official,雫るる_Official
90,19,0.25504,雪绘Yukie,阿梓从小就很可爱
54,20,0.25425,花园Serena,乙女音Official
38,22,0.25415,雫るる_Official,眞白花音_Official
50,48,0.25369,勾檀Mayumi,星汐Seki
42,11,0.25363,奈奈莉娅Channel,咩栗
47,91,0.25348,秋凛子Rinco,白神遥Haruka
64,74,0.25347,艾露露Ailurus,扇宝
123,124,0.25322,凛-阿格里亚斯,塔克Tako
101,22,0.25322,物述有栖Official,眞白花音_Official
31,37,0.25318,魔狼咪莉娅,HiiroVTuber
49,31,0.25266,绯赤艾莉欧_NHOTBOT,魔狼咪莉娅
40,47,0.25178,红晓音Akane,秋凛子Rinco
76,11,0.25171,蕾尔娜Leona,咩栗
32,49,0.25159,夢乃栞Yumeno_Shiori,绯赤艾莉欧_NHOTBOT
40,11,0.25146,红晓音Akane,咩栗
66,90,0.25125,星弥Hoshimi,雪绘Yukie
85,37,0.25101,早稻叽,HiiroVTuber
75,54,0.25035,冰糖IO,花园Serena
46,31,0.25034,九重紫Official,魔狼咪莉娅
75,38,0.24988,冰糖IO,雫るる_Official
53,32,0.24974,夏诺雅_shanoa,夢乃栞Yumeno_Shiori
53,54,0.24947,夏诺雅_shanoa,花园Serena
120,22,0.24921,猫芒ベル_Official,眞白花音_Official
103,86,0.24867,shourei小N,多多poi丶
26,37,0.24858,椎名菜羽Official,HiiroVTuber
26,20,0.24787,椎名菜羽Official,乙女音Official
26,46,0.24763,椎名菜羽Official,九重紫Official
81,92,0.24689,麻尤米mayumi,永雏塔菲
91,41,0.24655,白神遥Haruka,东爱璃Lovely
42,72,0.24565,奈奈莉娅Channel,黎歌Neeko
18,35,0.24512,小可学妹,帅比笙歌超可爱OvO
78,35,0.24507,桃几OvO,帅比笙歌超可爱OvO
116,125,0.24499,小绝,KB呆又呆
44,37,0.24485,泠鸢yousa,HiiroVTuber
54,49,0.24444,花园Serena,绯赤艾莉欧_NHOTBOT
82,92,0.24393,明前奶绿,永雏塔菲
101,106,0.2437,物述有栖Official,神楽Mea_NHOTBOT
46,53,0.24304,九重紫Official,夏诺雅_shanoa
51,107,0.24268,蕾蕾大表哥,妙妙子Official
85,22,0.24256,早稻叽,眞白花音_Official
44,19,0.24212,泠鸢yousa,阿梓从小就很可爱
39,125,0.2417,黄子弘凡-Lars,KB呆又呆
31,20,0.24078,魔狼咪莉娅,乙女音Official
23,54,0.23976,鈴宮鈴,花园Serena
91,10,0.23938,白神遥Haruka,呜米
66,35,0.23917,星弥Hoshimi,帅比笙歌超可爱OvO
41,35,0.23916,东爱璃Lovely,帅比笙歌超可爱OvO
126,43,0.23816,早凉,雪狐桑
82,19,0.23712,明前奶绿,阿梓从小就很可爱
53,46,0.23708,夏诺雅_shanoa,九重紫Official
65,19,0.23684,小柔Channel,阿梓从小就很可爱
108,91,0.23675,穆小泠Official,白神遥Haruka
127,19,0.23602,黑泽诺亚NOIR,阿梓从小就很可爱
124,13,0.23591,塔克Tako,阿萨Aza
